loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),label
2023-05-08T04:31:45Z,212799.45240925,-0.086517333984375,0.9568634033203124,-0.3011627197265625,212799.42497825,-1.629038717827046,-0.2770447959391524,-1.254007958002085,0.00268766703084111,0.06504717469215393,0.00134284375235438,8.232370018959e-4,0.00605809688568115,-9.050965309143066e-5,XArbitraryZVertical,-0.4800962131775768,0.3459605707933862,-0.5278013233569646,0.609298597246165,-0.08520425111055374,0.9502407908439636,-0.2996378242969513,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.48611625,-0.08380126953125,0.94744873046875,-0.3038482666015625,212799.42497825,-1.629038717827046,-0.2770447959391524,-1.254007958002085,0.00268766703084111,0.06504717469215393,0.00134284375235438,8.232370018959e-4,0.00605809688568115,-9.050965309143066e-5,XArbitraryZVertical,-0.4800962131775768,0.3459605707933862,-0.5278013233569646,0.609298597246165,-0.08520425111055374,0.9502407908439636,-0.2996378242969513,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.51979225,-0.08587646484375,0.959381103515625,-0.295562744140625,212799.48486125,-1.6346364376846,-0.2796892433298664,-1.253396100833596,0.01200871542096138,0.04466447234153748,-0.01356926001608372,9.2135369777679e-4,0.00487565994262695,-0.00535792112350463,XArbitraryZVertical,-0.479676110569526,0.346302806938471,-0.5290238738213229,0.6083741649194739,-0.08615686744451523,0.9500499963760376,-0.2999703884124756,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.55346925,-0.0874786376953125,0.9461517333984376,-0.30023193359375,212799.54474325,-1.639430201498367,-0.281574638982722,-1.252227826721621,-0.00388735206797719,0.04036206752061844,-0.01807612739503384,0.00388556718826293,2.247095108032227e-5,0.00163337588310241,XArbitraryZVertical,-0.4790599227871626,0.3465037537632923,-0.5303220691505706,0.6076145637888427,-0.08703064173460007,0.949684739112854,-0.3008734881877899,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.58714525,-0.0892791748046875,0.9472808837890624,-0.3025665283203125,212799.54474325,-1.639430201498367,-0.281574638982722,-1.252227826721621,-0.00388735206797719,0.04036206752061844,-0.01807612739503384,0.00388556718826293,2.247095108032227e-5,0.00163337588310241,XArbitraryZVertical,-0.4790599227871626,0.3465037537632923,-0.5303220691505706,0.6076145637888427,-0.08703064173460007,0.949684739112854,-0.3008734881877899,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.62085225,-0.092376708984375,0.944366455078125,-0.30621337890625,212799.60462625,-1.643694858434628,-0.2829762133288516,-1.251783597366672,0.00861595198512077,0.04877592250704765,-0.0259188711643219,1.9821524620056e-4,-0.00131851434707641,0.00251102447509765,XArbitraryZVertical,-0.4785845426385292,0.3469565445169189,-0.531392772915192,0.6067946887532853,-0.087569959461689,0.9495455026626588,-0.3011559844017029,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.65452825,-0.0901947021484375,0.93804931640625,-0.307342529296875,212799.60462625,-1.643694858434628,-0.2829762133288516,-1.251783597366672,0.00861595198512077,0.04877592250704765,-0.0259188711643219,1.9821524620056e-4,-0.00131851434707641,0.00251102447509765,XArbitraryZVertical,-0.4785845426385292,0.3469565445169189,-0.531392772915192,0.6067946887532853,-0.087569959461689,0.9495455026626588,-0.3011559844017029,0,0,0,-1,-1,aiyana
2023-05-08T04:31:45Z,212799.68820525,-0.087799072265625,0.94140625,-0.30731201171875,212799.66450925,-1.64644444683981,-0.2829256511411392,-1.251685486227258,-0.00868863239884376,0.03942164033651352,-0.02910241298377514,-0.00322414189577102,-0.01100748777389526,-0.00735875964164733,XArbitraryZVertical,-0.4780698244229826,0.3475976688165797,-0.53226329354499,0.6060702359418649,-0.0875808373093605,0.9495147466659546,-0.3012502193450928,0,0,0,-1,-1,aiyana
2023-05-08T04:31:46Z,212799.72188225,-0.081817626953125,0.951873779296875,-0.301849365234375,212799.66450925,-1.64644444683981,-0.2829256511411392,-1.251685486227258,-0.00868863239884376,0.03942164033651352,-0.02910241298377514,-0.00322414189577102,-0.01100748777389526,-0.00735875964164733,XArbitraryZVertical,-0.4780698244229826,0.3475976688165797,-0.53226329354499,0.6060702359418649,-0.0875808373093605,0.9495147466659546,-0.3012502193450928,0,0,0,-1,-1,aiyana
2023-05-08T04:31:46Z,212799.75558825,-0.0877838134765625,0.949249267578125,-0.307037353515625,212799.72439225,-1.651708639721157,-0.2862036096970368,-1.251184478486773,-0.0105483029037714,0.01226411946117878,-0.02307488210499287,0.00531288981437683,0.00257748365402221,-2.4855136871337e-4,XArbitraryZVertical,-0.4779067497315608,0.3477014632322338,-0.5332002832355771,0.6053151677462563,-0.08870209008455276,0.9493574500083924,-0.3014176487922668,0,0,0,-1,-1,aiyana
