loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),label
2023-05-07T20:53:57Z,207597.99154475,-0.737548828125,-0.423858642578125,-0.4909210205078125,207597.97158475,-1.313038666246098,-0.9723458430242392,0.4336592198053191,0.2361631244421005,0.0989752635359764,-0.00677303783595562,-0.01693171262741089,0.00382748246192932,0.00100672245025634,XArbitraryZVertical,0.1278452030008722,0.477543900788469,0.6066277493707691,-0.6225836020019294,-0.7497308850288391,-0.4201941192150116,-0.5112148523330688,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.02524975,-0.7570953369140625,-0.4072723388671875,-0.5084228515625,207597.97158475,-1.313038666246098,-0.9723458430242392,0.4336592198053191,0.2361631244421005,0.0989752635359764,-0.00677303783595562,-0.01693171262741089,0.00382748246192932,0.00100672245025634,XArbitraryZVertical,0.1278452030008722,0.477543900788469,0.6066277493707691,-0.6225836020019294,-0.7497308850288391,-0.4201941192150116,-0.5112148523330688,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.05892575,-0.7585601806640625,-0.377349853515625,-0.5321044921875,207598.03146575,-1.308651563541288,-0.9710113740652216,0.4333591662085611,0.1476624608039856,0.06381208449602127,0.08530841767787933,-0.0051051378250122,0.00955188274383544,0.00433623790740966,XArbitraryZVertical,0.1265054752554688,0.4773398601923215,0.6053082070296385,-0.6242957381056855,-0.7491520643234253,-0.4199218153953552,-0.5122860670089722,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.09260075,-0.73931884765625,-0.4299774169921875,-0.494659423828125,207598.03146575,-1.308651563541288,-0.9710113740652216,0.4333591662085611,0.1476624608039856,0.06381208449602127,0.08530841767787933,-0.0051051378250122,0.00955188274383544,0.00433623790740966,XArbitraryZVertical,0.1265054752554688,0.4773398601923215,0.6053082070296385,-0.6242957381056855,-0.7491520643234253,-0.4199218153953552,-0.5122860670089722,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.12627675,-0.7518768310546875,-0.4235687255859375,-0.52850341796875,207598.09134575,-1.291314357859935,-0.9747539689799652,0.4430279613020928,0.1324696987867355,0.0422641821205616,-0.00970464572310447,0.00819754600524902,0.01069292426109314,-0.00527554750442504,XArbitraryZVertical,0.1198590362923872,0.4817115106337548,0.6008501261590905,-0.6265517696341658,-0.7476690411567688,-0.4286770522594452,-0.5071756839752197,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.159981875,-0.760833740234375,-0.372100830078125,-0.5124664306640625,207598.151226875,-1.281045756316547,-0.9767996645641503,0.4458546222625813,0.5242440700531006,0.07625184953212738,-0.04990160092711449,-0.00550651550292968,0.04884383082389832,-0.01243013143539429,XArbitraryZVertical,0.1169320345002238,0.4835746744140133,0.5978591846517882,-0.6285275355795951,-0.7476977705955505,-0.4312291145324707,-0.5049648880958557,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.193656875,-0.751953125,-0.4607696533203125,-0.4883880615234375,207598.151226875,-1.281045756316547,-0.9767996645641503,0.4458546222625813,0.5242440700531006,0.07625184953212738,-0.04990160092711449,-0.00550651550292968,0.04884383082389832,-0.01243013143539429,XArbitraryZVertical,0.1169320345002238,0.4835746744140133,0.5978591846517882,-0.6285275355795951,-0.7476977705955505,-0.4312291145324707,-0.5049648880958557,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.227332875,-0.742919921875,-0.4560394287109375,-0.4862518310546875,207598.211107875,-1.259387884159833,-0.9817198852670652,0.4636727077219782,0.02333499118685722,0.01363174058496952,-0.00525130797177553,-0.00175648927688598,-0.02099516987800598,0.01649338006973267,XArbitraryZVertical,0.1063980929420126,0.4901159645488832,0.5930051271372186,-0.6299291260505344,-0.743665874004364,-0.447236031293869,-0.4969315826892853,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.261007875,-0.7584228515625,-0.4340972900390625,-0.537872314453125,207598.211107875,-1.259387884159833,-0.9817198852670652,0.4636727077219782,0.02333499118685722,0.01363174058496952,-0.00525130797177553,-0.00175648927688598,-0.02099516987800598,0.01649338006973267,XArbitraryZVertical,0.1063980929420126,0.4901159645488832,0.5930051271372186,-0.6299291260505344,-0.743665874004364,-0.447236031293869,-0.4969315826892853,0,0,0,-1,-1,takbir
2023-05-07T20:53:57Z,207598.294713875,-0.7348785400390625,-0.4552459716796875,-0.5183258056640625,207598.270987875,-1.266259129695064,-0.9802648801231896,0.4583702036602582,-0.2194499671459198,-0.07159280776977539,0.04346030578017235,-0.01396387815475464,0.00777941942214965,-0.03857630491256714,XArbitraryZVertical,0.1096528490475392,0.4881730956806151,0.5945809481917174,-0.6293940855430923,-0.7449015378952026,-0.4424871206283569,-0.4993265569210052,0,0,0,-1,-1,takbir
